iter	Passed	Remaining
602	22719	14957
603	22756	14919
604	22802	14887
605	22841	14850
606	22878	14812
607	22916	14774
608	22951	14735
609	22987	14696
610	23019	14655
611	23056	14617
612	23091	14577
613	23127	14539
614	23163	14500
615	23200	14462
616	23235	14423
617	23271	14384
618	23309	14347
619	23346	14308
620	23380	14269
621	23416	14230
622	23450	14190
623	23486	14152
624	23520	14112
625	23556	14073
626	23591	14034
627	23626	13995
628	23662	13956
629	23702	13920
630	23739	13882
631	23773	13842
632	23809	13804
633	23844	13764
634	23879	13725
635	23915	13687
636	23950	13648
637	23986	13610
638	24024	13572
639	24061	13534
640	24098	13496
641	24134	13457
642	24172	13421
643	24211	13384
644	24247	13345
645	24288	13309
646	24328	13273
647	24367	13236
648	24405	13199
649	24444	13162
650	24481	13124
651	24521	13087
652	24558	13050
653	24594	13012
654	24629	12972
655	24665	12934
656	24701	12895
657	24738	12858
658	24778	12821
659	24822	12787
660	24865	12752
661	24914	12720
662	24957	12685
663	24999	12650
664	25044	12616
665	25087	12581
666	25128	12545
667	25165	12507
668	25199	12467
669	25234	12428
670	25270	12390
671	25307	12352
672	25343	12313
673	25379	12275
674	25416	12237
675	25453	12199
676	25501	12166
677	25549	12134
678	25592	12098
679	25640	12066
680	25689	12033
681	25741	12002
682	25788	11969
683	25825	11931
684	25863	11893
685	25903	11856
686	25938	11817
687	25976	11780
688	26012	11741
689	26048	11702
690	26083	11664
691	26120	11625
692	26158	11588
693	26195	11550
694	26234	11512
695	26272	11475
696	26317	11440
697	26366	11408
698	26415	11375
699	26463	11341
700	26506	11305
701	26544	11268
702	26580	11229
703	26618	11191
704	26658	11154
705	26694	11116
706	26734	11079
707	26771	11041
708	26814	11005
709	26864	10972
710	26902	10935
711	26938	10896
712	26977	10859
713	27018	10822
714	27056	10784
715	27091	10745
716	27125	10706
717	27163	10668
718	27200	10630
719	27237	10592
720	27277	10555
721	27315	10517
722	27352	10479
723	27387	10440
724	27425	10402
725	27466	10366
726	27505	10328
727	27549	10293
728	27587	10255
729	27628	10218
730	27675	10184
731	27717	10148
732	27764	10113
733	27808	10077
734	27857	10043
735	27907	10010
736	27948	9973
737	27986	9935
738	28026	9898
739	28067	9861
740	28105	9823
741	28142	9785
742	28183	9748
743	28223	9711
744	28264	9674
745	28308	9638
746	28353	9602
747	28406	9570
748	28453	9535
749	28509	9503
750	28558	9468
751	28607	9434
752	28649	9397
753	28691	9360
754	28732	9323
755	28776	9287
756	28825	9253
757	28879	9220
758	28929	9185
759	28981	9151
760	29031	9117
761	29082	9083
762	29125	9046
763	29169	9010
764	29214	8974
765	29253	8936
766	29295	8899
767	29337	8862
768	29386	8827
769	29434	8792
770	29484	8757
771	29531	8721
772	29583	8687
773	29635	8653
774	29679	8616
775	29718	8578
776	29760	8541
777	29805	8505
778	29856	8470
779	29905	8434
780	29959	8400
781	30017	8368
782	30066	8332
783	30109	8295
784	30152	8258
785	30203	8223
786	30243	8185
787	30288	8148
788	30335	8112
789	30386	8077
790	30437	8042
791	30487	8006
792	30536	7971
793	30587	7935
794	30633	7899
795	30684	7863
